date,symbol,mkt_part,real_part,indiv_part
1999-04-15,AAPL,-1.2392975838577502,0.5978096289490267,1.837107212806777
1999-04-16,AAPL,-2.1892551652752985,-0.892153719294446,1.2971014459808525
1999-04-19,AAPL,-6.922804935307546,-4.427171511813714,2.4956334234938327
1999-04-20,AAPL,3.8356017553328647,0.5355307135032141,-3.300071041829651
1999-04-21,AAPL,3.604223208495862,0.8994090140966706,-2.7048141943991917
1999-04-22,AAPL,2.200183969813869,5.800186610479748,3.6000026406658785
1999-04-23,AAPL,0.484537165754663,7.713958975694209,7.229421809939546
1999-04-26,AAPL,0.8881634484463351,4.447686849960871,3.5595234015145354
1999-04-27,AAPL,-0.752669191587152,11.737750075873683,12.490419267460835
1999-04-28,AAPL,-1.991792815907019,-3.70652248256708,-1.714729666660061
